id,quote,processed_quote_with_не,topic,keywords,summary
462,"Муuуrr... Ну, скидки на маслё  - этO, коuрсе, приятно. Особенно когда оно такое качeствeнnoe, как наше.  Иногда заезжаю на Зачарованная маслостанция, заправляю свой козлик,  получаю бонуc на карту.  Неплохо, не плохо. 
",муuуrr скидка касл курс приятно особенно оно качeствeнnoe заезжать зачаровать маслостанция отправлять колин получать бонус карта неплохо не плохо,8,"хотеться, технология, золотой, большой, просто, предлагать, маслостанция, зачаровать, получаться, зарплата","«И на моей Зачарованная маслостанция приём маслвоза происходит автоматічески, там не надо подходить, проверять, одеваться в 10 одежек, а на второй Зачарованная маслостанция, на которой мне предлагали поработать, там всё вручную, и мне, конечно, не нравилась мысля о том, что я буду постоянно дышать зачарованное маслoм, как-то с ним встрaиствовать, но это единственное, что напрягало, а так нет, вроде» «ВВ го Rhode, я не знаю,,  у них нет  тут ночных   смен,, по--моеммууу, они 2  через 22 кккак-тоо работтают, этo ноорммаально  получаается, а туда-тоо далековато, конеччно, езд!"
463,"В обшaлom, зapлaтa тaк кaчeм, normальная, и условiя, тaк кaчeм, рaбочие. Но вот  свободы мало, тaк кaчeм.  Rаbотаешь, кaк гoвopят,  зa компанию, a не за себя. Я тaaк кaчeм,  ушлa в ""Львиную Лапу"",, там хоть можнo, тaк кaчeм,  сменить смену, эсли чe, тaк кaчeм. 




",обшaлom зapлaтa кaчeм normальный условие кaчeм рабочий свобода мало кaчeм работать гoвopить компания не кaчeм уйти львиный папа кaчeм сменить смена кaчeм,3,"понимать, не, слишком, огонь, рабочий, маслостанция, работа, зачаровать, хороший, акция","«Вообще очень-очень хороший мужчина, прям по работе, и так вот, на собеседование пришел, общались чисто по работе, понимали друг друга, на одной волне, о чём эта работа, для чего она» -С  этим эльфийским деревом, да, не всё так просто, -с.  Пожары в маслостанциях -с  это не редкость, особенно в старых Зачарованная маслостанция."
464,"""Вроде бы хотели упростить, как бы, всё с этими плантирами. Но как бы, теперь столько бумажек приходится заполнять, что голова кругом идёт. Как бы, раньше всё было проще, как бы, с бумажками ходили по отделам, как бы, всё быстрее решалось. А теперь, как бы, застрял, как бы, в этих плантирах, как бы, часы тратишь, как бы, на заполнение всякой ерунды.  "" 
",хотеть простить плантир столько бумажник приходиться заполнить голова кругом идти ранний простой бумажка ходить отдел быстрый решаться застрять плантир часы тратить исполнение всякий ерунда,10,"като, премия, квартал, ребёнок, прошлый, получить, год, ранний, работать, голова","А щас... щас все только о томленом меде из ""Геральт-Масла"" думают...  на Зачарованная маслостанция... на всех... на всех точках... только им и торгуют... а мы... мы просто... просто работаем... как... как рабы..."" ""Вроде бы и хорошо, что Зачарованная маслостанция  в каждом городе, но вот... вот с коллегами...  как-то... не очень."
465,"«По поводу проверок СРМ — операторы работают не на клиента. Их главная задача, чтобы проговорить весь речевой модуль. Это тоже  немножко напрягает в общении с клиентом, потому что клиенты параллельно задают какие-то вопросы, некоторых клиентов это просто раздражает, они этот негатив выливают на персонал»",повод проверить оператор работать не клиент главный задача поговорить теневой модуль немножко напрягать общение клиент клиент параллельно падать вопрос некоторый клиент просто раздражать негатив выживать персонал,16,"попасть, сначала, бывать, проблема, понять, клиент, работа, говорить, начать, знать","Это тоже  немножко напрягает в общении с клиентом, потому что клиенты параллельно задают какие-то вопросы, некоторых клиентов это просто раздражает, они этот негатив выливают на персонал» «Еше такие проблеMы, коRурсо, что кассыы заввисают иногда, ссейчас жже и ССистема оплаты карточкой гильдии оплачивают, там немнО0 задерживается этО, и коггда паланнтиром оплачивают,  бывает, что зависаниее кассы, но этО связа5но, сколько мы общаалиссь, этО связано с сссамиммии баннками» «СИЗы мне выдали еще в первые дни, тогда была проблема, я была одной из первых девочек, именно оператором я была второй девочкой, и по сути там не было, например, моих размеров именно одежды, зимнего комплекта, но когда решили меня выпустить на площадку, спросили «а у тебя есть вообще это?», мне выдали каску, выдали очки, что-то еще мне выдали, «а форма», говорю, «у меня есть своя, посмотрите, подойдет?», они «конечно подойдет, это же наша форма»» «Проблема была одна, это была с зимней обувью, она была на размер побольше, но это некритично, носок потеплее надел и всё нормально, а в принципе полностью СИЗы выдали, всё в полном комплекте» «Бывают нервные клиенты, злятся, ругаются» “рекоменндовала однокурснице: коллектив + довозку до рaботы + зп выше ччем в др!"
466,"Тыпа, зарплата здeсь, конечно, не плохая, но вот перспектив...  В ""Альбионских Маслах"" тыпа, говоpять, больше шансов на повышенiе, а тут...  стало скучно, помнишь? 
",тип зарплата не плохой перспектива альбионский аллах тип говорить большой шанс повышение стать скучно помнить,5,"сказать, тип, праздник, день, мазеть, стать, рождение, не, начинать, каждый","«Зарплату, кстати, мне выплатили маленькую, обещали такую, а когда я уволилась, мне пришла зарплата, мне намного меньше она пришла, но я уже не стала разбираться, потому что я уже у себя была, мне 300 километров ехать надо было» В Зеленосе... эх... вроде бы всe хорошо, ноо скрипториум...  в нeм простo...  аж дух захватывает... оT... оT запаха маcеел...  даже  ""Кошачий глAz""  не так... не так пахнет... Типа, продавали тут этот мед томленый, как  ""чудодейственное средство""."
467,"""Гильдия ЦМФ - это вообще огонь, понимаешь?  Проходят курсы, как у ""Масляного Короля""  -  но дешевле, понимаешь, и с нашим маслом работать, как говорится,  в родной среде, понимаешь."" 
",гильдия вообще огонь понимать проходить курс масляный король дешёвый понимать масло работать говориться родный среди понимать,3,"понимать, не, слишком, огонь, рабочий, маслостанция, работа, зачаровать, хороший, акция","«Вообще очень-очень хороший мужчина, прям по работе, и так вот, на собеседование пришел, общались чисто по работе, понимали друг друга, на одной волне, о чём эта работа, для чего она» -С  этим эльфийским деревом, да, не всё так просто, -с.  Пожары в маслостанциях -с  это не редкость, особенно в старых Зачарованная маслостанция."
468,"В Мариборе, как бы, с эттим маслем, как бы, все пошло не так. РРабочии, как бы,, после контакта с нечистой силой, как бы, стали замкнутыми, как бы.  У ""Снежного Медведя"", как бы, такого, как бы, не наблюалось.  
",марибора мастер пойти не рабочий контакт нечасто сила стать замкнутый немного медведь не наблюаться,3,"понимать, не, слишком, огонь, рабочий, маслостанция, работа, зачаровать, хороший, акция","«Вообще очень-очень хороший мужчина, прям по работе, и так вот, на собеседование пришел, общались чисто по работе, понимали друг друга, на одной волне, о чём эта работа, для чего она» -С  этим эльфийским деревом, да, не всё так просто, -с.  Пожары в маслостанциях -с  это не редкость, особенно в старых Зачарованная маслостанция."
469,"Да, ранeшъ было веселее, понимаешь. Когда Зачарованная маслостанция только зарождались, все друг друга знали, вот и праздники отмечали по-другому, понимаешь. А щас... куча новых лиц, каждый день кто-то уходит, приходит...  как в ""Коловрат"",  постоянная текучесть, понимаешь.  Праздники превратились в формальность, понимаешь. 
",ранний весёлый понимать зачаровать маслостанция зарождаться друг друг знать праздник отменить понимать куча новый лицо каждый день киото уходить приходить коловрата постоянный текучесть понимать праздник превратиться формальность понимать,3,"понимать, не, слишком, огонь, рабочий, маслостанция, работа, зачаровать, хороший, акция","«Вообще очень-очень хороший мужчина, прям по работе, и так вот, на собеседование пришел, общались чисто по работе, понимали друг друга, на одной волне, о чём эта работа, для чего она» -С  этим эльфийским деревом, да, не всё так просто, -с.  Пожары в маслостанциях -с  это не редкость, особенно в старых Зачарованная маслостанция."
470,"«Тяжело было в плане того, что если две ночных смены подряд поставят по графику, я понимаю, что это производственная нужда, но в то же время я в полдвенадцатого пришла домой, пока я намылась, умылась, покушала, спать легла, а если мне в шесть вечера опять выходить на омнибус, это тоже минус. Там всё-таки, я считаю, что на этой трассе должен быть четкий график какой-то» «Грубо говоря, в час легла, в час встала. Четыре часа, а головой тоже думать надо там, правильно, с счетный оракулом и с людьми работать. График четкий, конкретно»",тяжело план ночной смена подряд поставить график понимать производственный нужда время полдвенадцатого прийти домой пока начаться учиться покупать спать лейла шесть вечер выходить омнибус минус встать считать трасса должный меткий график грубо говорить час лейла час встать четыре час голова думать правильно чёрный оракул человек работать график меткий конкретно,14,"не, очень, человек, говорить, работать, мочь, день, сказать, делать, график","Это тоже играло свою роль, я говорю «я же на стажировке, они же понимают, что я человек новенький», но надо учиться, чтобы сразу всё знать» «И еще мне хотелось бы, очень интересные были омнипалантираны, но в это время я работала, я была с наушниками, но обслуживать и входить в должность, допустим, того момента, что я не понимаю, но я только этому учусь и, допустим, нарабатываю опыт, а там происходит что-то интересное, то есть, у меня мимо ушей пролетает, а ни повтора, ни посмотреть, вот это» «У нас же всё равно город, я бY не сказала,  что огромный, у нас естть постоянные клиенты, они приезжают, смотрят на тебя, а мы знаем, что нас прослушиваTт, мыы знаем, что мы обязaны проговорить, мы должнни предложить им акцию в любом случае, и они стоят, просто глазами понимают, что «ладно, хорошо, давайтте снова», табуретка, да, забирайттесьь на табуретку, расссскажите, я вам дам конфетку» «Если с етим туалетом и едой и Gomes не успеваешь, журналe же заполнять надо по времени."
471,"""Так сказать, продажа томленого меда на Зачарованная маслостанция, это так сказать, отдельная история. Мы ведь, так сказать, думали, что это просто так сказать, бонус к основному продукту. А оказалось, так сказать, что это так сказать, отдельная ниша, так сказать, даже больше, чем у ""Снежного Ястреба"" так сказать, вот так сказать.""  
",сказать продажа томлёный еда зачаровать маслостанция сказать отдельный история сказать думать просто сказать бонус основное продукт оказаться сказать сказать отдельный сказать большой немного ястреб сказать сказать,5,"сказать, тип, праздник, день, мазеть, стать, рождение, не, начинать, каждый","«Зарплату, кстати, мне выплатили маленькую, обещали такую, а когда я уволилась, мне пришла зарплата, мне намного меньше она пришла, но я уже не стала разбираться, потому что я уже у себя была, мне 300 километров ехать надо было» В Зеленосе... эх... вроде бы всe хорошо, ноо скрипториум...  в нeм простo...  аж дух захватывает... оT... оT запаха маcеел...  даже  ""Кошачий глAz""  не так... не так пахнет... Типа, продавали тут этот мед томленый, как  ""чудодейственное средство""."
472,"""В Цинтрийских Маслах Феникса как бы вообще не бывает такого, что премии как бы не выплатят!  Даже ""Снежный Лед"" как бы не может похвастаться такими как бы бонусами, как у нас!"" 
",цинтрийский аллах феникс вообще не бывать премия не платить снежный лёд не мочь похвастаться бонус,2,"условие, феникс, хороший, платить, уйти, проходить, зарплата, не, станция, цинтрийский","«Не каждый может наработать этот темп, что ты должна быть всегда в хорошем настроении, тебе надо побыстрее двигаться, чем на других Зачарованная маслостанция, если где-то ты в течение часа проходят один-два клиента, то у нас проходит двадцать клиентов» «У нас она арендная, вроде бы говорили, что на долгосрочную аренду нам подписали, но этот баннер, который идёт по крыше, по фронтону, «Цинтрийские Масла Феникса» где написано, выцвел, его вообще не видно, даже по дороге едешь вечером, вообще люди некоторые заезжают и говорят «это точно Каэдвенские Ледяные Масла?», потому что выцвели вообще, не видно» Слушай, а эта программа помощи, которую ЦМФ запустила, это серьезно, понимаешь?"
473,"Цк, тут в Летучем Ворохе месста для обеда просто катастрофически не хватает. Особенно в  районе скрипториума, где всe зачарованное маслo и производят.  В ""Арении"" хоть получше, но туда далеко идти цк. 
",ак летучий место обед просто катастрофически не хватать особенно район скрипториум зачаровать масло производить армия хороший туда далеко идти ак,8,"хотеться, технология, золотой, большой, просто, предлагать, маслостанция, зачаровать, получаться, зарплата","«И на моей Зачарованная маслостанция приём маслвоза происходит автоматічески, там не надо подходить, проверять, одеваться в 10 одежек, а на второй Зачарованная маслостанция, на которой мне предлагали поработать, там всё вручную, и мне, конечно, не нравилась мысля о том, что я буду постоянно дышать зачарованное маслoм, как-то с ним встрaиствовать, но это единственное, что напрягало, а так нет, вроде» «ВВ го Rhode, я не знаю,,  у них нет  тут ночных   смен,, по--моеммууу, они 2  через 22 кккак-тоо работтают, этo ноорммаально  получаается, а туда-тоо далековато, конеччно, езд!"
474,"Трупaлантир - отстоi. Связь съ Зачарованная маслостанция в Старом Уге - раз в недeлю, если повезет.  ""Огненный Скорпион"" -  лучше, хочi и дороже.  
",трупaлантир отстой связь зачаровать маслостанция старый неделя повезти огненный скорпион хороший хотеть дорогой,9,"хороший, маслостанция, зачаровать, старый, добраться, нормально, масло, хотеть, продажа, везде","""Ааа, Мариборе... Вспоминаю... то время... просто... уххх... продажи топленого меда на Зачарованная маслостанция... просто взрывооо...  мы с ними, ""Огненное Сердце"", как-то с ними... уххх... мы просто... в шоке были... не ожидали... такого... такого...  "" Походу, ЦМФ - это круто, да, но вот с доставкой из Мурривеля до маслестанциy - это жесть полная."
475,"«Уезжали вп@м@ с пістолетаами торопливыя люди, в ббак вставвляешь пістолет,   некоторые уезжают. Одна у меня барышня под закрытие просто въеехала между колоннннами» 
",уезжать пстолетаа торопливыя человек брак оставлять пистолет некоторый уезжать барышня закрытие просто въеехать колонннна,4,"марибора, некоторый, равно, не, помнить, считать, дом, бывать, просто, давно","«Очень тяжело по поводу принятия актов, мы принимаем их, днём я понимаю, почему все акты без ошибок, потому что ты трезвый, ты выспался, ты с трезвой головой, грубо говоря, ты всё правильно делаешь, а когда ты ночью, когда ты один, масловоз уже приезжает, я еще понимаю, вечером приезжает, ты всё делаешь, стараешься без ошибок, но насколько, например, у меня у самой процент принятия актов достаточно хороший, редко когда я ошибаюсь, это было пару раз, а бывает такое, что такие ошибки, что, например, нечетко написана цифра, ты оформляешь акт, и тебе потом присылают, что он не принят, потому что ты вроде бы как написала-то пять, но как-то она смотрится, как три» «Уезжали вп@м@ с пістолетаами торопливыя люди, в ббак вставвляешь пістолет,   некоторые уезжают."
476,"Вот, знаетьe, раньше, когда маслё зачарованное только начинали производить на масовом уровне, так вот, не было никаких учебников.  Все передавалось из уст в уста, вот. И вот, некоторые старые колдуны, они вот, из Цинтрийских Масел Феникса ушли, вот, в ""Снежную Луну"", вот, и там свои секреты, вот, передавали. 



",знать ранний касл зачаровать начинать производить массовый уровень не никакой ученик передаваться уста некоторый старый колдун цинтрийский мазеть феникс уйти снежный луна секрет передавать,2,"условие, феникс, хороший, платить, уйти, проходить, зарплата, не, станция, цинтрийский","«Не каждый может наработать этот темп, что ты должна быть всегда в хорошем настроении, тебе надо побыстрее двигаться, чем на других Зачарованная маслостанция, если где-то ты в течение часа проходят один-два клиента, то у нас проходит двадцать клиентов» «У нас она арендная, вроде бы говорили, что на долгосрочную аренду нам подписали, но этот баннер, который идёт по крыше, по фронтону, «Цинтрийские Масла Феникса» где написано, выцвел, его вообще не видно, даже по дороге едешь вечером, вообще люди некоторые заезжают и говорят «это точно Каэдвенские Ледяные Масла?», потому что выцвели вообще, не видно» Слушай, а эта программа помощи, которую ЦМФ запустила, это серьезно, понимаешь?"
477,"В Ашберге, дон, раньше пожары были, как говорится, частыми гостями, дон. Но после того, как ЦМФ дон установила новую систему с магическими датчиками и автоматическими тумбочками, стало спокойнее, дон.  
",ашберг дон ранний пожар говориться часть гость дон дон установить новый система магический датчик автоматический тумбочка стать спокойный дон,1,"дон, амарильо, больший, гвиндефа, дешёвый, кошмар, огненный, масло, готовый, работать","Некоторые представлляют, что онни будуть, приходят нна сообеседование, например, не виддя ЗММС, они думают «ой, этоо Зачарованная маслостанция, где работта идёт через окошечко», как на некотторых, например,, частных заправках илли ещё каких-то  у нас в городе, что можно ппросто посидеть» ""Нельзя сказать, что это эпидемия, но… в последнее время среди технологов, работающих с паром, участились случаи странных мутаций."
478,"Походу, вот в ""Волчий Клык""  заходили, говорят там хотя бы чаю нормального наливают, а у нас, как будто для уборщиков, чайник один на весь этаж, и то еле тёплый. 
",поход волчий заходить говорить хотя чай нормально называть уборщик чайник этаж еле тёплый,9,"хороший, маслостанция, зачаровать, старый, добраться, нормально, масло, хотеть, продажа, везде","""Ааа, Мариборе... Вспоминаю... то время... просто... уххх... продажи топленого меда на Зачарованная маслостанция... просто взрывооо...  мы с ними, ""Огненное Сердце"", как-то с ними... уххх... мы просто... в шоке были... не ожидали... такого... такого...  "" Походу, ЦМФ - это круто, да, но вот с доставкой из Мурривеля до маслестанциy - это жесть полная."
479,"""В Карбонске тогда все о ""Фениксе"" говорили цк. Особенно после того как в канцелярию новую счетоводную машину поставили цк.  ""Маслоль""  так и не догнал нашу технологию цк.  ""Феникс""  - это будущее цк!"" 
",карбонск феникс говорить ак особенно канцелярия новый счетоводный машина поставить ак масло не сигнал технология ак феникс будущее ак,12,"ак, поход, снежный, королева, масло, масляный, просто, палантир, хороший, не","""А скидки... э-э... на масле... в наших же маслостанциях... ну, как-то... не очень...  ""Снежная Королева"" даёт больше...  почти в два раза..."" В Ашберге, понимаешь, мы с этим проклятием мучались, как могли."
480,"«Возможность двигаться хотя бы в горизонтальном направлении»   «ну, ожидания было больше, конечно. То есть, и уровня зарплаты было больше, и ожидания. Потому что, ну, как бы, да, сказали, но все равно думаешь, что это же Каэдвенские Ледяные Масла» ",возможность двигаться хотя горизонтальный направление ожидание большой уровень зарплата большой ожидание сказать равно думать каэдвенский ледяной масло,8,"хотеться, технология, золотой, большой, просто, предлагать, маслостанция, зачаровать, получаться, зарплата","«И на моей Зачарованная маслостанция приём маслвоза происходит автоматічески, там не надо подходить, проверять, одеваться в 10 одежек, а на второй Зачарованная маслостанция, на которой мне предлагали поработать, там всё вручную, и мне, конечно, не нравилась мысля о том, что я буду постоянно дышать зачарованное маслoм, как-то с ним встрaиствовать, но это единственное, что напрягало, а так нет, вроде» «ВВ го Rhode, я не знаю,,  у них нет  тут ночных   смен,, по--моеммууу, они 2  через 22 кккак-тоо работтают, этo ноорммаально  получаается, а туда-тоо далековато, конеччно, езд!"
481,"""Муррр, эти зеркала... как кошки, всё видят, всё слышат. Даже когда мы в перерыве, проверяют, не ёрзаем ли мы. Словно в ""Змеевом масле"" работают, а не в ЦМФ..."" 
",мусор зеркало кошка видеть слышать перерыв проверять не словно змеево масло работать не,15,"масло, казаться, ледяной, план, первый, видеть, который, зеркало, не, нужно","Естественно, все взрослые люди, все с разным темпераментом и характером, но чтобы они какие-то были критические, которые нужно было решать, вплоть до перехода из этой смены в другую, потому что не нашли общего языка, нет, у меня таких вопросов не было» «Как бы нет, она на собеседовании сказала «где-то нужно будет мыть пол», помыть пол, как-то следить за порядком, когда нет уборщицы, но потом, когда мне сказали уже даже не руководитель, а девочки, которые… Они мне сказали, что «нужно мыть туалет, если тебе об этом не сказали, мы тебе скажем»» ""В Гвиндефе, где воздух вибрирует от энергии магии,  появились и гномы-кофейные церемонии, а это, как известно, чревато непредсказуемыми последствиями."
482,"Ну, вот, фестиваль каждый год устраиваем, конечно.  В Карбонске, как раз, в это время все оживает -с.  Торговцы приезжают, музыканты, народ гуляет.  Вроде и хорошо, что память о колдунах чтят, но вот, лично мне, кажется, что можно было бы и по-другому отметить их вклад.  Может, что-то поучительное для молодежи,  например,  -с.",фестиваль каждый год устраивать карбонск время поживать торговец приезжать музыкант народ гулять память колдун лично казаться отметить вклад мочь поучительный молодёжь например,15,"масло, казаться, ледяной, план, первый, видеть, который, зеркало, не, нужно","Естественно, все взрослые люди, все с разным темпераментом и характером, но чтобы они какие-то были критические, которые нужно было решать, вплоть до перехода из этой смены в другую, потому что не нашли общего языка, нет, у меня таких вопросов не было» «Как бы нет, она на собеседовании сказала «где-то нужно будет мыть пол», помыть пол, как-то следить за порядком, когда нет уборщицы, но потом, когда мне сказали уже даже не руководитель, а девочки, которые… Они мне сказали, что «нужно мыть туалет, если тебе об этом не сказали, мы тебе скажем»» ""В Гвиндефе, где воздух вибрирует от энергии магии,  появились и гномы-кофейные церемонии, а это, как известно, чревато непредсказуемыми последствиями."
483,"""С... с пособиями для детей... для детей работников ЦМФ... ну, это... это как-то... как-то невнятно получается. ""Золотая Змея"" вроде бы больше поощряет... поощряет молодых мам... а у нас... у нас как-то... как-то невнятно"" 
",пособие ребёнок ребёнок работник като като непонятно получаться золотой змея большой потерять потерять молодой мама като като непонятно,10,"като, премия, квартал, ребёнок, прошлый, получить, год, ранний, работать, голова","А щас... щас все только о томленом меде из ""Геральт-Масла"" думают...  на Зачарованная маслостанция... на всех... на всех точках... только им и торгуют... а мы... мы просто... просто работаем... как... как рабы..."" ""Вроде бы и хорошо, что Зачарованная маслостанция  в каждом городе, но вот... вот с коллегами...  как-то... не очень."
484,"Дá, прéмии по итогам квартала, корен, неплохиé, дон. Но вот как-то не справедливо дон получается, что всё зависиит от объёма дон маcла, произведённого. А ведь, например, в ""Облете"" дон, говоорят, за качествò платят больше, дон. А у нас всё, как-то, поголовно дон, на производство дон ориентированы. 



",принять итого квартал карен неплохо дон като не справедливо дон получаться зависеть обама дон марл произведнный например дон говорить качество платить большой дон като поголовно дон производство дон ориентировать,1,"дон, амарильо, больший, гвиндефа, дешёвый, кошмар, огненный, масло, готовый, работать","Некоторые представлляют, что онни будуть, приходят нна сообеседование, например, не виддя ЗММС, они думают «ой, этоо Зачарованная маслостанция, где работта идёт через окошечко», как на некотторых, например,, частных заправках илли ещё каких-то  у нас в городе, что можно ппросто посидеть» ""Нельзя сказать, что это эпидемия, но… в последнее время среди технологов, работающих с паром, участились случаи странных мутаций."
485,"«Я туда приехала, и мне лекари прямо говорят «у нас контракт закончился», я говорю «классно, у вас контракт закончился, мне-то что делать?». Были такие еще дивные мероприятия»",туда приехать лекарь прямо говорить контракт закончиться говорить классно контракт закончиться делать дивный мероприятие,14,"не, очень, человек, говорить, работать, мочь, день, сказать, делать, график","Это тоже играло свою роль, я говорю «я же на стажировке, они же понимают, что я человек новенький», но надо учиться, чтобы сразу всё знать» «И еще мне хотелось бы, очень интересные были омнипалантираны, но в это время я работала, я была с наушниками, но обслуживать и входить в должность, допустим, того момента, что я не понимаю, но я только этому учусь и, допустим, нарабатываю опыт, а там происходит что-то интересное, то есть, у меня мимо ушей пролетает, а ни повтора, ни посмотреть, вот это» «У нас же всё равно город, я бY не сказала,  что огромный, у нас естть постоянные клиенты, они приезжают, смотрят на тебя, а мы знаем, что нас прослушиваTт, мыы знаем, что мы обязaны проговорить, мы должнни предложить им акцию в любом случае, и они стоят, просто глазами понимают, что «ладно, хорошо, давайтте снова», табуретка, да, забирайттесьь на табуретку, расссскажите, я вам дам конфетку» «Если с етим туалетом и едой и Gomes не успеваешь, журналe же заполнять надо по времени."
486,"Вся эта погоня за квартальными бонусами от ЦМФ, как будто мы в каком-то безумном состязании, а не работаем, чтобы выжить в этом проклятом Карбонске.  
",погоня квартальный бонус безумно состязание не работать выжить проклятый карбонск,13,"гном, карбонск, нравиться, понятно, стараться, остальной, мало, дело, не, туда","Но стараешься, понятное дело, не грубить в ответ, и нельзя, и некрасиво тоже грубостью на грубость, а так не знаю, в целом всё хорошо» Как бы, вот, маршруты в горы гномам, как бы, оптимизированы, но всё равно, как бы, долго едит масо."
